,index,method,dataset,model_name,backbone,width_mult,depth_mult,scenario,B,P,num_states,budget,acc@1,acc@5,acc1_std,acc5_std
128,128,deesil,imagenet_food,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,25,25,4,1500000.0,34.78,71.94,,
129,129,deesil,imagenet_food,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,6,11,1500000.0,27.44,64.8,,
130,130,deesil,imagenet_food,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,10,7,1500000.0,32.06,70.7,,
131,131,deesil,imagenet_food,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,15,5,1500000.0,35.6,72.85,,
132,132,deesil,imagenet_food,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,5,5,20,3000000.0,21.19,57.37,,
133,133,deesil,imagenet_food,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,10,10,10,3000000.0,27.25,67.65,,
134,134,deesil,imagenet_food,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,25,25,4,3000000.0,37.78,74.91,,
135,135,deesil,imagenet_food,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,semi,40,6,11,3000000.0,31.32,68.39,,
136,136,deesil,imagenet_food,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,semi,40,10,7,3000000.0,33.44,72.18,,
137,137,deesil,imagenet_food,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,semi,40,15,5,3000000.0,36.83,73.91,,
138,138,deesil,imagenet_food,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,equi,5,5,20,6000000.0,22.75,60.11,,
139,139,deesil,imagenet_food,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,equi,10,10,10,6000000.0,27.93,69.04,,
140,140,deesil,imagenet_food,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,equi,25,25,4,6000000.0,37.28,74.45,,
141,141,deesil,imagenet_food,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,semi,40,6,11,6000000.0,30.57,66.85,,
142,142,deesil,imagenet_food,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,semi,40,10,7,6000000.0,35.04,72.09,,
143,143,deesil,imagenet_food,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,semi,40,15,5,6000000.0,38.97,74.39,,
144,144,deesil,imagenet_food,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,5,5,20,1500000.0,8.56,31.71,,
145,145,deesil,imagenet_food,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,10,10,10,1500000.0,22.79,61.23,,
146,146,deesil,imagenet_food,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,25,25,4,1500000.0,36.1,73.24,,
147,147,deesil,imagenet_food,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,6,11,1500000.0,27.29,65.63,,
148,148,deesil,imagenet_food,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,10,7,1500000.0,30.43,69.61,,
149,149,deesil,imagenet_food,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,15,5,1500000.0,34.17,72.01,,
150,150,deesil,imagenet_food,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,5,5,20,3000000.0,18.36,53.95,,
151,151,deesil,imagenet_food,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,10,10,10,3000000.0,26.48,67.77,,
152,152,deesil,imagenet_food,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,25,25,4,3000000.0,39.78,76.28,,
153,153,deesil,imagenet_food,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,6,11,3000000.0,30.29,67.46,,
154,154,deesil,imagenet_food,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,10,7,3000000.0,34.41,72.1,,
155,155,deesil,imagenet_food,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,15,5,3000000.0,40.74,75.76,,
156,156,deesil,imagenet_food,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,5,5,20,6000000.0,22.16,60.18,,
157,157,deesil,imagenet_food,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,10,10,10,6000000.0,26.45,67.97,,
158,158,deesil,imagenet_food,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,25,25,4,6000000.0,37.61,75.24,,
159,159,deesil,imagenet_food,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,6,11,6000000.0,29.64,67.5,,
160,160,deesil,imagenet_food,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,10,7,6000000.0,34.34,72.43,,
161,161,deesil,imagenet_food,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,15,5,6000000.0,38.71,74.47,,
162,162,deesil,imagenet_random_0,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,5,5,20,1500000.0,10.23,42.05,,
163,163,deesil,imagenet_random_0,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,10,10,10,1500000.0,18.23,53.36,,
164,164,deesil,imagenet_random_0,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,25,25,4,1500000.0,45.48,80.44,,
165,165,deesil,imagenet_random_0,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,6,11,1500000.0,42.52,79.27,,
166,166,deesil,imagenet_random_0,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,10,7,1500000.0,46.39,81.68,,
167,167,deesil,imagenet_random_0,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,15,5,1500000.0,54.88,86.1,,
168,168,deesil,imagenet_random_0,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,5,5,20,3000000.0,14.61,45.46,,
169,169,deesil,imagenet_random_0,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,10,10,10,3000000.0,25.47,63.76,,
170,170,deesil,imagenet_random_0,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,25,25,4,3000000.0,49.84,84.01,,
171,171,deesil,imagenet_random_0,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,6,11,3000000.0,43.92,80.8,,
172,172,deesil,imagenet_random_0,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,10,7,3000000.0,51.17,85.08,,
173,173,deesil,imagenet_random_0,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,15,5,3000000.0,59.4,88.13,,
174,174,deesil,imagenet_random_0,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,5,5,20,6000000.0,29.08,69.12,,
175,175,deesil,imagenet_random_0,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,10,10,10,6000000.0,43.04,78.34,,
176,176,deesil,imagenet_random_0,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,25,25,4,6000000.0,53.8,85.46,,
177,177,deesil,imagenet_random_0,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,6,11,6000000.0,50.39,82.9,,
178,178,deesil,imagenet_random_0,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,10,7,6000000.0,56.42,85.6,,
179,179,deesil,imagenet_random_0,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,15,5,6000000.0,60.13,87.72,,
180,180,deesil,imagenet_random_0,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,5,5,20,1500000.0,21.46,58.6,,
181,181,deesil,imagenet_random_0,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,10,10,10,1500000.0,39.14,74.64,,
182,182,deesil,imagenet_random_0,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,25,25,4,1500000.0,53.42,84.99,,
183,183,deesil,imagenet_random_0,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,6,11,1500000.0,42.26,78.49,,
184,184,deesil,imagenet_random_0,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,10,7,1500000.0,52.82,84.38,,
185,185,deesil,imagenet_random_0,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,15,5,1500000.0,54.56,85.04,,
186,186,deesil,imagenet_random_0,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,5,5,20,3000000.0,27.53,66.73,,
187,187,deesil,imagenet_random_0,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,10,10,10,3000000.0,41.16,76.79,,
188,188,deesil,imagenet_random_0,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,25,25,4,3000000.0,53.61,85.11,,
189,189,deesil,imagenet_random_0,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,semi,40,6,11,3000000.0,45.12,80.13,,
